circuit_id,family,compiled_gate_count,compiled_two_qubit_count,compiled_depth,hardware_vs_ideal_tv,hardware_vs_ideal_h2,finite_vs_ideal_tv,finite_vs_ideal_h2,local_noise_vs_ideal_tv,local_noise_vs_ideal_h2,hardware_vs_local_noise_tv,hardware_vs_local_noise_h2,hardware_noise_minus_ideal_tv,hardware_excess_over_finite_tv,hardware_feasible_k3,finite_feasible_k3,ideal_feasible_k3,local_noise_feasible_k3
tianyan-287__qaoa_0100,qaoa,1182,288,704,0.820764735215841,0.6160487157712093,0.03714611524719041,0.0012332387434782705,0.7838686704734961,0.568895406067385,0.13336339664221245,0.012711596554657277,-0.6874013385736286,0.7836186199686507,0.3046875,1.0,1.0,0.3159411421855989
tianyan-287__qaoa_0101,qaoa,1182,288,704,0.8067698148847672,0.6009742860724472,0.03942532591628556,0.003819570720041269,0.7914068544321974,0.5684288268840231,0.12384476926688162,0.0117781839903889,-0.6829250456178856,0.7673444889684816,0.302734375,1.0,0.9999999999999998,0.31564750942333164
tianyan-287__qaoa_0102,qaoa,1182,288,704,0.8483841367002435,0.6308472043449345,0.03316920177739599,0.0021320043824121933,0.8445805404442928,0.6340544254540733,0.0984640350353599,0.008634807528682247,-0.7499201016648835,0.8152149349228475,0.337890625,1.0,1.0,0.31551759015413156
tianyan-287__qaoa_0103,qaoa,1182,288,704,0.8079420005591338,0.5919045925392535,0.039129702739717914,0.0031015991139430035,0.7761877817644367,0.5502390320009911,0.11501027862101557,0.010937897102487402,-0.6929317219381183,0.7688122978194158,0.2822265625,1.0,1.0000000000000002,0.3154898873514754
tianyan-287__qaoa_0104,qaoa,1182,288,704,0.8270850525545337,0.602805423356118,0.02910334911519258,0.002799554480901842,0.8088207893804393,0.5793595982491708,0.1174493240815057,0.011454415039581096,-0.709635728473028,0.797981703439341,0.3173828125,1.0,0.9999999999999999,0.31562646836161723
tianyan-287__qaoa_0105,qaoa,432,108,237,0.833984375,0.6004825097916249,0.026759622796120035,0.0005118798595377721,0.7245791811400502,0.47825490068251225,0.226900065369711,0.036893233787292486,-0.607084309630289,0.80722475220388,0.3359375,1.0,1.0,0.38623116914467204
tianyan-287__qaoa_0106,qaoa,432,108,237,0.8232421875000001,0.6073140698057926,0.027922687968604577,0.0006652917672715399,0.7245791811860025,0.4782549006949663,0.2658254028760484,0.04843062483656736,-0.5574167846239517,0.7953194995313956,0.3583984375,1.0,1.0000000000000002,0.38623116914067096
tianyan-287__qaoa_0107,qaoa,432,108,237,0.8544921875,0.6304333026440413,0.01504606596331019,0.0002663931584276381,0.7245791814022804,0.47825490075358223,0.2388797889198001,0.040237395839398546,-0.6156123985801999,0.8394461215366898,0.3046875,1.0,1.0,0.38623116912183975
tianyan-287__qaoa_0108,qaoa,432,108,237,0.8662109375,0.644195991213403,0.022733624858753135,0.0003654590865332032,0.7245791812282698,0.4782549007064216,0.28499753534266503,0.05683619750190536,-0.581213402157335,0.8434773126412468,0.30859375,1.0,1.0,0.3862311691369909
tianyan-287__qaoa_0109,qaoa,432,108,237,0.8583984375,0.638466829999301,0.0171805008843288,0.00023937979025596563,0.724579181163135,0.47825490068876864,0.25783313250726225,0.050387625384279544,-0.6005653049927377,0.8412179366156712,0.306640625,1.0,1.0,0.3862311691426621
tianyan-287__qaoa_0110,qaoa,807,198,458,0.8670715535010356,0.6469064164924896,0.029756905611377626,0.0010231521305992233,0.8115404418790961,0.5643316879396052,0.18217992999852076,0.026670984195380675,-0.6848916235025149,0.8373146478896579,0.318359375,1.0,1.0,0.326694823694803
tianyan-287__qaoa_0111,qaoa,807,198,458,0.8486230895176934,0.6313377241434532,0.025723705408270084,0.001601064027583436,0.7853115111470522,0.5387730417312433,0.1695464919967285,0.023627590707641012,-0.6790765975209649,0.8228993841094233,0.3017578125,1.0,1.0000000000000002,0.32448969595146837
tianyan-287__qaoa_0112,qaoa,807,198,458,0.892981089449377,0.6789890952849779,0.06048172290597431,0.0027480811128161153,0.8249173137638781,0.5768841117723017,0.1849668352940778,0.028591863751067044,-0.7080142541552992,0.8324993665434027,0.3095703125,1.0,0.9999999999999999,0.3266041094233346
tianyan-287__qaoa_0113,qaoa,807,198,458,0.8227264503599983,0.6036606238627437,0.026644867395393252,0.0012599661514878294,0.7550176849862789,0.5240864522807345,0.19118884074758385,0.026255405421874288,-0.6315376096124143,0.796081582964605,0.302734375,1.0,1.0,0.3264224012191308
tianyan-287__qaoa_0114,qaoa,807,198,458,0.8592875522940181,0.6370804741385335,0.02980760904126121,0.00396308286735743,0.7987196968382821,0.546364504364193,0.18216453644220215,0.024758834248933763,-0.677123015851816,0.8294799432527569,0.30078125,1.0,1.0,0.3243527680896484
